source_name,table_name,page_number,source_method,warning_text
600080_20230428_FQ2V.pdf,core_performance_indicators_sheet,5,pymupdf.find_tables[0],
600080_20230428_FQ2V.pdf,core_performance_indicators_sheet,5,pymupdf.find_tables[1],no_mapped_fields_found
600080_20230428_MMWM.pdf,balance_sheet,73,pdfplumber.combined_pages,
600080_20230428_MMWM.pdf,balance_sheet,73,fitz.combined_text,
600080_20230428_MMWM.pdf,income_sheet,77,pdfplumber.combined_pages,
600080_20230428_MMWM.pdf,income_sheet,77,fitz.combined_text,
600080_20230428_MMWM.pdf,cash_flow_sheet,80,pdfplumber.combined_pages,
600080_20230428_MMWM.pdf,cash_flow_sheet,80,fitz.combined_text,
600080_20230428_MMWM.pdf,core_performance_indicators_sheet,6,pdfplumber.combined_pages,
600080_20230428_MMWM.pdf,core_performance_indicators_sheet,6,fitz.combined_text,
600080_20230428_PCK7.pdf,balance_sheet,4,pdfplumber.combined_pages,
600080_20230428_PCK7.pdf,balance_sheet,4,fitz.combined_text,
600080_20230428_PCK7.pdf,income_sheet,7,fitz.combined_text,
600080_20230428_PCK7.pdf,income_sheet,7,pdfplumber.combined_pages,
600080_20230428_PCK7.pdf,cash_flow_sheet,9,pdfplumber.combined_pages,
600080_20230428_PCK7.pdf,cash_flow_sheet,9,fitz.combined_text,
600080_20230428_PCK7.pdf,core_performance_indicators_sheet,1,pdfplumber.combined_pages,
600080_20230428_PCK7.pdf,core_performance_indicators_sheet,1,fitz.combined_text,
600080_20230819_DNUE.pdf,core_performance_indicators_sheet,3,pymupdf.find_tables[2],
600080_20230819_U8CH.pdf,balance_sheet,33,pdfplumber.combined_pages,
600080_20230819_U8CH.pdf,balance_sheet,33,fitz.combined_text,
600080_20230819_U8CH.pdf,income_sheet,37,pdfplumber.combined_pages,
600080_20230819_U8CH.pdf,income_sheet,37,fitz.combined_text,
600080_20230819_U8CH.pdf,cash_flow_sheet,40,pdfplumber.combined_pages,
600080_20230819_U8CH.pdf,cash_flow_sheet,40,fitz.combined_text,
600080_20230819_U8CH.pdf,core_performance_indicators_sheet,6,fitz.combined_text,
600080_20230819_U8CH.pdf,core_performance_indicators_sheet,6,pdfplumber.combined_pages,
600080_20231028_F42E.pdf,balance_sheet,6,fitz.combined_text,
600080_20231028_F42E.pdf,balance_sheet,6,pdfplumber.combined_pages,
600080_20231028_F42E.pdf,income_sheet,8,fitz.combined_text,
600080_20231028_F42E.pdf,income_sheet,8,pdfplumber.combined_pages,
600080_20231028_F42E.pdf,cash_flow_sheet,11,fitz.combined_text,
600080_20231028_F42E.pdf,cash_flow_sheet,11,pdfplumber.combined_pages,
600080_20231028_F42E.pdf,core_performance_indicators_sheet,1,fitz.combined_text,
600080_20231028_F42E.pdf,core_performance_indicators_sheet,1,pdfplumber.combined_pages,
600080_20240427_0WKP.pdf,balance_sheet,80,pdfplumber.combined_pages,
600080_20240427_0WKP.pdf,balance_sheet,80,fitz.combined_text,
600080_20240427_0WKP.pdf,income_sheet,84,pdfplumber.combined_pages,
600080_20240427_0WKP.pdf,income_sheet,84,fitz.combined_text,
600080_20240427_0WKP.pdf,cash_flow_sheet,87,pdfplumber.combined_pages,
600080_20240427_0WKP.pdf,cash_flow_sheet,87,fitz.combined_text,
600080_20240427_0WKP.pdf,core_performance_indicators_sheet,6,pdfplumber.combined_pages,
600080_20240427_0WKP.pdf,core_performance_indicators_sheet,6,fitz.combined_text,
600080_20240427_IBMB.pdf,balance_sheet,6,fitz.combined_text,
600080_20240427_IBMB.pdf,balance_sheet,6,pdfplumber.combined_pages,
600080_20240427_IBMB.pdf,income_sheet,8,fitz.combined_text,
600080_20240427_IBMB.pdf,income_sheet,8,pdfplumber.combined_pages,
600080_20240427_IBMB.pdf,cash_flow_sheet,11,fitz.combined_text,
600080_20240427_IBMB.pdf,cash_flow_sheet,11,pdfplumber.combined_pages,
600080_20240427_IBMB.pdf,core_performance_indicators_sheet,1,fitz.combined_text,
600080_20240427_IBMB.pdf,core_performance_indicators_sheet,1,pdfplumber.combined_pages,
600080_20240427_W39O.pdf,core_performance_indicators_sheet,4,pymupdf.find_tables[0],
600080_20240427_W39O.pdf,core_performance_indicators_sheet,5,pymupdf.find_tables[0],no_mapped_fields_found
